店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
goo ITALIANO グーイタリアーノ 渋谷本店,050-5485-7425,,東京都,渋谷区,渋谷1-11-3,第一小山ビル1F,,
Italianbar ATTACHMENT 2nd 大宮店,050-5493-1910,,埼玉県,さいたま市大宮区,桜木町2-159,B1,,
肉バル×イタリアン リトルブッチャー 浅草橋,050-5485-1756,,東京都,台東区,柳橋1-12-5,玉沖柳橋ビル1F,,
イタリアン グラン・パ 東高円寺店,050-5484-2331,,東京都,杉並区,高円寺南1-7-2,東高円寺フジステーションプラザ,,
備長炭 イタリアン 創,050-5489-0679,,奈良県,橿原市,新賀町208-1,1F,,
魚バル×イタリアン リトルパイレーツ 浅草橋,050-5488-5905,,東京都,台東区,柳橋1-13-10,木下第2ビル1F,,
かもめのイタリアン,050-5485-8571,,東京都,渋谷区,千駄ヶ谷4-26-11,代々木TH＆C Bldg B1,,
イタリアン ペーザロ,050-5487-2182,,静岡県,掛川市,城下6-12,,,
Italian＆Bar ally,050-5485-7267,,埼玉県,所沢市,緑町2-7-2,宝寿ビル1F,,
イタリアン×ネオ酒場 伊酒場あんごろ．．,050-5485-9826,,神奈川県,海老名市,めぐみ町2-1,ビナガーデンズテラス2F,,
HIROSHIMA ITALIAN AO‐あお‐ （ヒロシマイタリアン アオ）,050-5485-1798,,広島県,広島市中区,堀川町1-14,レックスビルMB-2F,,
Italian＆Bar NOSTALGIE【ノスタルジー】,050-5484-2934,,東京都,渋谷区,恵比寿4-9-8,E・BOX1ビル3F,,
イタリアン居酒屋 ネアルコ（Nearco）,050-5486-1578,,愛知県,名古屋市千種区,星が丘元町15-15,スターヒルズ15 3F,,
肉バル×イタリアン AGIO ～アジオ～ 上野店,050-5485-8059,,東京都,台東区,上野3-19-5,田沼ビル1F,,
イタリアン酒場 THANK YOU 2000 栄中央店,050-5484-8949,,愛知県,名古屋市中区,錦3-17-15,栄ナナイロ5F,,
黒毛和牛×イタリアン サロン・ド・リアン～絆～,050-5487-5369,,大阪府,堺市堺区,新町5-16,堺東アサヒビル2F,,
